3.9%;;7290106662605
6.40;23.20;
;;3069705
27.60;122.30;
-7.60;10;6
5.60;3%;4131074
17.90;;7290105360830
202;;7220013030301
17.80;28.90;
17.80;;7290105360830
23.90;;7290106527263
16.90;;2008903
;;67599
9.80;24.90;
4.00;;87108712
32.70;310.90;
;4;8710800961310
32.70;310.90;
;60;7290100687109
13.50;34.50;
;;446547
23.80;211.90;
19.90;500;2716600
19.90;500;2716600
19.90;;7290012335020
;;
-4.90;;67599
9.90;;7290100686164
;;73415
9.80;24.90;
;;120560
14.70;34.90;
19.90;;2564676
25.90;;25675094284
9.80;400;61283
9.90;;4026011
;;4492342
19.80;29.90;
14.90;;6716100067929
9.90;;25675750609
;340;25675124097
29.80;214.90;
18.90;;7290010116379
;16014;7290106651173
23.80;211.90;
-1.80;22;
4.50;60;7290100687109
15;;4026059
29.70;39.90;
12.80;;461861
18.90;;7290010116355
16.90;;127705
25.90;65;7290103151409
;;5287657
13.80;26.90;
2.00;;2780649
14.60;27.30;
4.90;;211503
315;;7290014236509
19.80;29.90;
29.90;;7290108200201
13.90;;5430602
14.90;;4731519
9.90;;38000844966
9.90;;38000844973
-1.80;;182
4.00;;339566
31.80;25.90;
7.90;;25675120037
7.90;;25675120068
;;12
4.87;0.825;5.90
;;20
6.24;1.600;3.90
;;155
4.25;0.720;5.90
;;31
4.13;1.060;3.90
;;706
11.66;1.070;10.90
7.90;;191652
15.90;;188386
34.90;;7290011598457
1.50;;284316
39.00;66.50;
58.90;;4084500371422
;1.56;688732
19.80;29.90;
6;;688381
51.60;412.90;
;;901091
7.20;41.80;
;;20
7.27;1.865;3.90
;;
4.84;1.240;
;;
9.06;1.535;5.90
17.80;;4015600762780
17.80;;4015600762780
12.50;;165509
4.90;;497112
;;541
6.71;1.720;3.90
;100;80758
19.00;29.50;
16.90;;8712561626286
12.50;;165509
;;195544
35.80;217.90;
11.90;;2037309
12.30;270;7290103154011
14.90;;7290106523388
18.90;;6001067025122
9.90;500;497617
6.90;;2118435
;;7296163003528
27.60;46.90;
6.90;;7296163003528
8.90;10;7290105180353
34.90;;4015400598381
4.90;;2319917
14.90;;7290106654228
;;150
6.61;1.120;5.90
5.90;;8636766
9.90;;7290010153145
14.90;;8690637611698
